unique_id,ds,DilatedRNN,DilatedRNN-median,DilatedRNN-lo-90,DilatedRNN-lo-80,DilatedRNN-hi-80,y,model_name
serie_1,2024-01-01 00:00:00,23.868374,23.88417,22.173382,22.61529,25.06765,25.473969,AutoDilatedRNN_model
serie_1,2024-01-01 01:00:00,24.23662,24.257347,22.620821,22.913372,25.535357,25.868464,AutoDilatedRNN_model
serie_1,2024-01-01 02:00:00,24.46143,24.492168,22.76726,23.134684,25.713362,26.088099,AutoDilatedRNN_model
serie_1,2024-01-01 03:00:00,24.995068,25.020699,23.267433,23.625767,26.334993,26.648966,AutoDilatedRNN_model
serie_1,2024-01-01 04:00:00,25.727032,25.731289,24.034554,24.420778,26.990953,27.362677,AutoDilatedRNN_model
serie_1,2024-01-01 05:00:00,26.653358,26.623348,25.065344,25.355171,28.003313,28.393938,AutoDilatedRNN_model
serie_1,2024-01-01 06:00:00,28.181498,28.181963,26.29928,26.721199,29.663185,30.078861,AutoDilatedRNN_model
serie_1,2024-01-01 07:00:00,30.286726,30.251728,28.400314,28.757404,31.821222,32.29405,AutoDilatedRNN_model
serie_1,2024-01-01 08:00:00,32.769867,32.728065,30.81678,31.1984,34.46109,34.918736,AutoDilatedRNN_model
serie_1,2024-01-01 09:00:00,35.358326,35.349083,33.280045,33.718758,37.092224,37.60663,AutoDilatedRNN_model
serie_1,2024-01-01 10:00:00,37.769985,37.745377,35.67749,36.15847,39.454376,39.94552,AutoDilatedRNN_model
serie_1,2024-01-01 11:00:00,39.42223,39.386845,37.214214,37.722145,41.071842,41.61874,AutoDilatedRNN_model
serie_1,2024-01-01 12:00:00,40.585827,40.554413,38.20982,38.801285,42.319855,42.9768,AutoDilatedRNN_model
serie_1,2024-01-01 13:00:00,41.307076,41.316406,39.18043,39.57496,43.104565,43.527576,AutoDilatedRNN_model
serie_1,2024-01-01 14:00:00,41.436592,41.373306,39.1365,39.612995,43.216743,43.873123,AutoDilatedRNN_model
serie_1,2024-01-01 15:00:00,41.375675,41.39268,39.164116,39.533005,43.116276,43.71892,AutoDilatedRNN_model
serie_1,2024-01-01 16:00:00,40.816795,40.81913,38.53385,39.02175,42.586647,43.115456,AutoDilatedRNN_model
serie_1,2024-01-01 17:00:00,40.291588,40.366203,37.688656,38.25832,42.176178,42.71073,AutoDilatedRNN_model
serie_1,2024-01-01 18:00:00,39.76977,39.71808,37.20729,37.776867,41.72916,42.304237,AutoDilatedRNN_model
serie_1,2024-01-01 19:00:00,39.220734,39.19818,36.901463,37.374264,41.016624,41.539944,AutoDilatedRNN_model
