unique_id,ds,BiTCN,BiTCN-median,BiTCN-lo-90,BiTCN-lo-80,BiTCN-hi-80,BiTCN-hi-90,BiTCN-mu-1,BiTCN-std-1,BiTCN-mu-2,BiTCN-std-2,BiTCN-mu-3,BiTCN-std-3,BiTCN-mu-4,BiTCN-std-4,BiTCN-mu-5,BiTCN-std-5,BiTCN-mu-6,BiTCN-std-6,BiTCN-mu-7,y,model_name
serie_1,2024-01-01 00:00:00,24.014223,24.0713,19.611423,20.843344,27.09927,28.058716,24.953045,2.8939068,23.73042,2.166411,24.036636,2.6761818,24.41183,1.9783843,24.503454,1.8290155,21.888584,2.8600476,24.477749,2.1202762,AutoBiTCN_model
serie_1,2024-01-01 01:00:00,15.296964,15.197895,9.009414,11.052108,20.257643,22.268633,14.41936,4.9848123,14.888829,1.7136226,15.679108,1.68402,16.523222,4.5017295,16.722616,4.470107,14.716907,4.9850826,13.955505,2.292425,AutoBiTCN_model
serie_1,2024-01-01 02:00:00,9.664264,9.699273,2.4594588,4.778736,15.328552,17.617605,8.241438,5.5449524,9.695483,1.7968066,10.275069,1.7512338,10.728308,5.247673,11.6101055,5.280055,8.959834,5.933371,7.931879,2.4465284,AutoBiTCN_model
serie_1,2024-01-01 03:00:00,4.682732,4.8846445,-3.118462,-0.41047615,9.97588,12.156355,3.23139,5.1495123,5.485854,1.880322,5.823371,1.8547925,4.7103024,5.0997005,6.945964,4.9100933,2.9757366,6.4577336,3.4420261,2.4865696,AutoBiTCN_model
serie_1,2024-01-01 04:00:00,3.0786402,3.4403656,-4.9707856,-2.5541902,8.406553,10.284376,2.0363407,5.177781,4.1913605,2.0745676,4.4786606,2.062206,2.5592194,5.107286,5.286518,4.6884522,0.58958817,6.7809043,2.276247,2.7170908,AutoBiTCN_model
serie_1,2024-01-01 05:00:00,2.0911222,2.2656336,-6.7798247,-3.667315,8.302929,10.556092,0.9979992,5.9515004,2.8014927,2.3023245,3.2670345,2.2929685,2.1455708,6.013097,4.2984247,5.4246073,0.2436657,7.5352364,0.6820507,3.033563,AutoBiTCN_model
serie_1,2024-01-01 06:00:00,2.6635833,2.7399697,-6.6140666,-3.3842,9.431184,11.820451,2.0340347,6.4489474,2.961769,2.5733216,3.4467068,2.575807,2.9976673,6.355936,4.936942,5.727536,0.7890434,7.840572,1.2569141,3.4219635,AutoBiTCN_model
serie_1,2024-01-01 07:00:00,4.105506,3.9980507,-5.7381735,-2.6308372,11.566912,14.582037,3.6584148,7.300764,3.5688066,2.967423,4.234254,3.001813,5.193228,7.042525,6.431796,6.367098,2.7120142,8.272433,2.6301756,3.930484,AutoBiTCN_model
serie_1,2024-01-01 08:00:00,6.539453,6.3522716,-3.4383793,-0.74445003,14.619888,17.313555,6.73526,7.76492,5.38011,3.5100062,6.0552397,3.6838098,7.844345,7.1565204,8.946836,6.5059175,5.248595,8.377815,5.1973906,4.5200024,AutoBiTCN_model
serie_1,2024-01-01 09:00:00,9.113266,8.890432,-1.3871402,1.3083141,17.727873,20.378029,10.108225,8.121484,7.265648,4.23509,8.028896,4.649829,10.636383,7.1132345,11.392221,6.474006,7.8719635,8.2576275,8.054936,5.1622477,AutoBiTCN_model
serie_1,2024-01-01 10:00:00,10.095289,9.808144,-0.8492506,1.8897207,19.280704,21.625282,11.40562,8.413025,7.77925,4.713145,8.712371,5.282228,11.732771,7.1924458,12.414318,6.5743284,8.881079,8.261193,9.267775,5.5470815,AutoBiTCN_model
serie_1,2024-01-01 11:00:00,12.122352,11.79055,0.29102126,3.549261,21.28616,23.972052,14.172931,8.461532,9.224199,5.4195747,10.441792,6.37645,13.60008,6.8381133,14.325676,6.285392,10.543041,7.977281,12.065155,6.116051,AutoBiTCN_model
serie_1,2024-01-01 12:00:00,12.873613,12.445047,0.59869754,3.5534618,22.924948,25.544744,14.682796,9.152172,9.13559,6.1225142,10.758669,7.3417363,15.017254,7.3219237,14.986391,6.7909875,11.928758,8.225891,12.989499,6.5776677,AutoBiTCN_model
serie_1,2024-01-01 13:00:00,13.931588,13.677713,0.55403304,4.115814,24.677898,27.373972,15.72557,9.649717,9.481316,6.927471,11.445895,8.508506,16.601145,7.5266237,15.737614,6.9805117,13.386294,8.261098,14.397752,7.042805,AutoBiTCN_model
serie_1,2024-01-01 14:00:00,14.056365,13.8887615,0.33035064,3.7239153,24.922237,27.747723,15.78169,9.744556,9.465274,7.3300076,11.431438,9.075823,16.95889,7.5316443,15.690322,7.0293026,13.514393,8.259832,14.741789,7.2081847,AutoBiTCN_model
serie_1,2024-01-01 15:00:00,13.48838,13.280943,0.55606043,3.6546283,23.772644,26.637144,15.237103,9.259347,9.16864,7.0846705,11.027993,8.802798,16.074583,7.0234666,15.239502,6.606712,12.295916,7.985315,14.639531,6.9833827,AutoBiTCN_model
serie_1,2024-01-01 16:00:00,12.642744,12.480511,0.029461544,3.0036886,22.751345,25.556622,14.164885,9.131936,8.293776,6.8943286,10.295322,8.549672,15.246187,6.8841796,14.366883,6.521749,11.483162,7.792506,13.934414,6.8743787,AutoBiTCN_model
serie_1,2024-01-01 17:00:00,11.579602,11.338056,-0.6300054,2.2840133,21.298565,24.087114,12.8575115,8.783964,7.448329,6.55053,9.493848,8.104539,14.033262,6.6393847,13.340849,6.3451385,10.180128,7.6432576,13.052198,6.5874143,AutoBiTCN_model
serie_1,2024-01-01 18:00:00,10.537921,10.366377,-2.1059492,1.4537038,20.50609,23.055494,11.288409,8.955693,6.3049526,6.4775257,8.528442,7.9749846,13.302107,6.9788694,12.21086,6.7461567,9.990087,7.6599364,11.443872,6.3971677,AutoBiTCN_model
serie_1,2024-01-01 19:00:00,8.4271345,8.217694,-3.5047183,-0.059000574,17.765408,20.252327,8.762052,8.513492,4.760831,5.6078115,6.792726,6.7699957,11.158359,6.8503575,10.03372,6.6269603,8.063877,7.5062585,8.808495,5.573752,AutoBiTCN_model
