unique_id,ds,y,PatchTST-median,PatchTST-lo-90,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-90,model_name
serie_1,2024-01-01 00:00:00,23.570305,23.56618,21.98503,22.38049,24.729681,25.137688,AutoPatchTST_model
serie_1,2024-01-01 01:00:00,22.601088,22.570625,20.540216,21.067905,24.058699,24.618797,AutoPatchTST_model
serie_1,2024-01-01 02:00:00,21.98007,21.982998,20.009665,20.46823,23.441229,23.98744,AutoPatchTST_model
serie_1,2024-01-01 03:00:00,21.40398,21.438263,19.250412,19.872276,22.993448,23.539854,AutoPatchTST_model
serie_1,2024-01-01 04:00:00,20.67827,20.735912,18.470364,18.991371,22.263027,22.732376,AutoPatchTST_model
serie_1,2024-01-01 05:00:00,20.178875,20.175846,17.616505,18.291815,21.92915,22.653736,AutoPatchTST_model
serie_1,2024-01-01 06:00:00,19.594625,19.660032,17.161806,17.865202,21.29669,22.106571,AutoPatchTST_model
serie_1,2024-01-01 07:00:00,19.534874,19.5098,16.941261,17.751356,21.39804,22.217508,AutoPatchTST_model
serie_1,2024-01-01 08:00:00,19.663528,19.671804,17.24347,17.871206,21.530182,22.111813,AutoPatchTST_model
serie_1,2024-01-01 09:00:00,20.179726,20.13972,17.44811,18.213102,22.20328,22.839241,AutoPatchTST_model
serie_1,2024-01-01 10:00:00,21.267359,21.206264,18.53295,19.169859,23.243397,24.102175,AutoPatchTST_model
serie_1,2024-01-01 11:00:00,22.711693,22.686356,19.83777,20.52071,24.792767,25.682703,AutoPatchTST_model
serie_1,2024-01-01 12:00:00,24.216894,24.21481,22.4617,23.010473,25.451464,25.856092,AutoPatchTST_model
serie_1,2024-01-01 13:00:00,25.707617,25.678406,23.224886,23.818941,27.584272,28.338636,AutoPatchTST_model
serie_1,2024-01-01 14:00:00,27.171423,27.229507,23.731789,24.56878,29.55299,30.541533,AutoPatchTST_model
serie_1,2024-01-01 15:00:00,28.208939,28.265697,24.437479,25.458544,30.895573,31.97946,AutoPatchTST_model
serie_1,2024-01-01 16:00:00,28.433277,28.72102,23.564234,25.240223,31.571365,32.51127,AutoPatchTST_model
serie_1,2024-01-01 17:00:00,28.54668,28.561508,23.52006,24.890932,32.08888,33.582253,AutoPatchTST_model
serie_1,2024-01-01 18:00:00,28.278847,28.354086,23.367542,24.898159,31.787447,33.31584,AutoPatchTST_model
serie_1,2024-01-01 19:00:00,27.824188,27.826595,22.579288,24.054426,31.880785,33.248127,AutoPatchTST_model
serie_1,2024-01-01 20:00:00,27.243587,27.220226,21.748835,23.222065,31.329657,33.39606,AutoPatchTST_model
serie_1,2024-01-01 21:00:00,26.060793,26.031368,20.258226,22.02465,30.535557,31.902182,AutoPatchTST_model
serie_1,2024-01-01 22:00:00,25.376774,25.343262,20.011372,21.428638,29.34641,30.782402,AutoPatchTST_model
serie_1,2024-01-01 23:00:00,24.364285,24.312237,19.668451,20.74553,27.978128,29.510963,AutoPatchTST_model
