model_name,RMSE,RMSPE,MaxAbsError,MeanAbsError,MedianAbsError,Model
Autoformer_model,2.2059072720789934,0.830644979886926,4.547933197021486,1.6450780391693118,1.0025962829589847,Autoformer
AutoBiTCN_model,19.53613612595234,8.031371257256605,23.163714981079103,19.31918808221817,20.167875289916992,AutoBiTCN
AutoDeepAR_model,13.97419556136593,5.7969872037276335,24.023604583740237,13.420602321624756,13.16568603515625,AutoDeepAR
AutoDilatedRNN_model,12.866866200229822,5.232427352023961,16.415830230712892,12.495976066589355,13.10702896118164,AutoDilatedRNN
AutoGRU_model,10.659473974831142,4.269528899546176,16.535697174072265,10.087799549102783,9.168917846679689,AutoGRU
AutoiTransformer_model,0.9763991025840334,0.4425089497220417,2.316819763183595,0.7500739574432377,0.6198692321777344,AutoInformer
AutoRNN_model,11.470280168755204,5.291503490013863,17.308816528320314,11.131115531921386,10.486427307128906,AutoRNN
AutoTCN_model,24.039829540788613,9.70775552253204,28.959975755214693,23.59797195196152,24.759921127557757,AutoTCN
AutoTFT_model,4.616171549040225,2.2509996372929386,7.840329742431642,4.124669570922851,4.654146957397462,AutoTFT
AutoFEDformer_model,2.719784556025855,1.1988775215221876,4.462194061279298,2.369953536987305,2.493966484069825,FEDformer
AutoInformer_model,3.6091483037701177,1.6118469744923205,5.930200195312501,3.264296277364096,3.3269971847534183,Informer
LSTM_model,3.491266743914249,1.5354568169393878,6.153964233398437,3.167328510284424,3.366232299804688,LSTM
AutoPatchTST_model,1.4635609751164236,0.6671046562814272,3.5392070770263686,1.117909161249797,0.9997117996215829,PatchTST
VanillaTransformer_model,2.932136559965108,1.3013314314775106,4.836907958984376,2.638588190078736,2.755431365966798,VanillaTransformer
